Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-133038,Calibration,CC9-04202018-133038
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.4873,12.6766,-22.3212,12.7959,0,0,-0.166043,-0.11933,12920.2,-22.4904,12.7034,0
0,-22.4873,12.6766,-22.3212,12.7959,nan,nan,-0.166043,-0.11933,12920.2,-22.4542,12.5893,0
8,-22.4655,12.6717,-22.3212,12.7959,2.72765,-0.612296,-0.144221,-0.124228,12920.2,-22.4896,12.5509,0
19,-22.431,12.6316,-22.3212,12.7959,3.13492,-3.64401,-0.109737,-0.164312,12920.2,-22.4039,12.5955,0
30,-22.404,12.6117,-22.3212,12.7959,2.45391,-1.80978,-0.0827442,-0.18422,12921.4,-22.3875,12.7005,0
40,-22.3981,12.5982,-22.3212,12.7959,0.591209,-1.35466,-0.0768321,-0.197766,12895.8,-22.274,12.5624,0
48,-22.3761,12.5954,-22.3212,12.7959,2.74666,-0.349631,-0.0548589,-0.200563,12868.6,-22.3775,12.6348,0
60,-22.3569,12.593,-22.3212,12.7959,1.60158,-0.194129,-0.03564,-0.202893,12849.4,-22.3379,12.5514,0
69,-22.3464,12.5723,-22.3212,12.7959,1.16913,-2.30957,-0.0251178,-0.223679,12838.3,-22.2977,12.5445,0
80,-22.3272,12.5543,-22.3212,12.7959,1.73975,-1.63523,-0.00598051,-0.241667,12830.9,-22.3825,12.5886,0
88,-22.3123,12.5484,-22.3212,12.7959,1.8596,-0.733515,0.00889632,-0.247535,12823.6,-22.2874,12.5532,0
100,-22.3025,12.5458,-22.3212,12.7959,0.815534,-0.219967,0.0186827,-0.250174,12813.8,-22.2265,12.5311,0
108,-22.2944,12.5388,-22.3212,12.7959,1.0156,-0.868963,0.0268076,-0.257126,12801.5,-22.3143,12.5092,0
120,-22.2783,12.5254,-22.3212,12.7959,1.34011,-1.11789,0.0428889,-0.270541,12788.2,-22.2978,12.5325,0
128,-22.2638,12.5185,-22.3212,12.7959,1.822,-0.862445,0.0574649,-0.27744,12774.6,-22.2239,12.5125,0
140,-22.2596,12.5181,-22.3212,12.7959,0.347867,-0.0359725,0.0616393,-0.277872,12759.4,-22.2163,12.5151,0
148,-22.2585,12.5229,-22.3212,12.7959,0.140261,0.60268,0.0627614,-0.27305,12739.5,-22.2395,12.4702,0
159,-22.2586,12.5244,-22.3212,12.7959,-0.0104776,0.137723,0.0626461,-0.271535,12714.7,-22.2513,12.547,0
167,-22.2664,12.533,-22.3212,12.7959,-0.973645,1.0793,0.0548569,-0.262901,12691.1,-22.3067,12.5665,0
181,-22.2678,12.5335,-22.3212,12.7959,-0.102271,0.0350118,0.0534252,-0.262411,12674.3,-22.3078,12.5182,0
189,-22.2932,12.5356,-22.3212,12.7959,-3.16976,0.262208,0.0280671,-0.260313,12663.5,-22.3241,12.511,0
201,-22.3078,12.5244,-22.3212,12.7959,-1.21539,-0.934306,0.0134824,-0.271525,12655,-22.2295,12.5532,0
214,-22.3197,12.5072,-22.3212,12.7959,-0.915935,-1.32356,0.00157522,-0.288731,12644.3,-22.355,12.4514,0
221,-22.332,12.4942,-22.3212,12.7959,-1.76576,-1.85196,-0.0107851,-0.301695,12630.6,-22.331,12.4887,0
233,-22.329,12.4735,-22.3212,12.7959,0.248427,-1.72624,-0.00780395,-0.32241,12618,-22.3119,12.395,0
241,-22.3289,12.4606,-22.3212,12.7959,0.0141071,-1.61832,-0.00769109,-0.335356,12609.5,-22.363,12.4292,0
254,-22.2755,12.4545,-22.3212,12.7959,4.10632,-0.466719,0.045691,-0.341424,12603.1,-22.2299,12.4477,0
262,-22.2599,12.4531,-22.3212,12.7959,1.95219,-0.180781,0.0613085,-0.34287,12595.9,-22.1683,12.4881,0
274,-22.2585,12.457,-22.3212,12.7959,0.114511,0.324941,0.0626827,-0.338971,12587.8,-22.2079,12.4539,0
283,-22.261,12.4607,-22.3212,12.7959,-0.267119,0.418182,0.0602786,-0.335207,12580.2,-22.3669,12.4759,0
295,-22.3338,12.4713,-22.3212,12.7959,-6.07223,0.879911,-0.0125882,-0.324648,12572.4,-22.3704,12.5944,0
302,-22.4076,12.4864,-22.3212,12.7959,-10.5414,2.16011,-0.0863782,-0.309527,12562.6,-22.4725,12.4161,0
313,-22.4382,12.501,-22.3212,12.7959,-2.77651,1.32853,-0.11692,-0.294913,12552.3,-22.4437,12.5082,0
322,-22.4396,12.5017,-22.3212,12.7959,-0.157468,0.0707479,-0.118337,-0.294277,12544.3,-22.4338,12.5199,0
334,-22.4397,12.5019,-22.3212,12.7959,-0.00797636,0.0212117,-0.118433,-0.294022,12538.6,-22.4632,12.5102,0
342,-22.437,12.5075,-22.3212,12.7959,0.330413,0.693613,-0.115789,-0.288473,12533.8,-22.4265,12.4147,0
353,-22.4357,12.5137,-22.3212,12.7959,0.119823,0.566846,-0.114471,-0.282238,12529.1,-22.4434,12.4764,0
361,-22.4343,12.5207,-22.3212,12.7959,0.174756,0.871434,-0.113073,-0.275266,12523.5,-22.3968,12.5928,0
374,-22.427,12.5576,-22.3212,12.7959,0.561747,2.83835,-0.105771,-0.238368,12517.1,-22.441,12.5321,0
382,-22.4271,12.569,-22.3212,12.7959,-0.00792732,1.4227,-0.105834,-0.226986,12511.5,-22.4349,12.6248,0
