Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132722,Calibration,CC9-04202018-132722
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
165,-22.0726,12.5984,-22.3212,12.7959,3.32369,-3.93966,0.24866,-0.197541,13178.9,-22.0473,12.6006,0
177,-22.0511,12.5697,-22.3212,12.7959,1.78534,-2.39477,0.270084,-0.226278,13178.2,-22.0461,12.5586,0
185,-22.0544,12.5466,-22.3212,12.7959,-0.411605,-2.88298,0.266791,-0.249342,13175.1,-22.0658,12.4733,0
197,-22.0558,12.5207,-22.3212,12.7959,-0.112453,-2.16165,0.265442,-0.275282,13167.4,-22.0239,12.5993,0
205,-22.0531,12.5193,-22.3212,12.7959,0.335782,-0.169176,0.268128,-0.276635,13155.3,-22.0805,12.5115,0
217,-22.0158,12.5167,-22.3212,12.7959,3.10687,-0.214297,0.305411,-0.279207,13143,-21.9812,12.4935,0
225,-21.9658,12.5324,-22.3212,12.7959,6.25504,1.95458,0.355451,-0.26357,13132.4,-21.9463,12.5771,0
237,-21.9504,12.539,-22.3212,12.7959,1.28229,0.554228,0.370838,-0.256919,13121.4,-21.9007,12.6026,0
249,-21.9409,12.5476,-22.3212,12.7959,0.795315,0.715892,0.380382,-0.248329,13109.4,-21.9393,12.5383,0
257,-21.9268,12.5469,-22.3212,12.7959,1.75764,-0.0937072,0.394443,-0.249078,13098.6,-21.8888,12.5644,0
269,-21.9215,12.55,-22.3212,12.7959,0.441598,0.262159,0.399743,-0.245932,13089.2,-21.8795,12.6122,0
277,-21.9193,12.5604,-22.3212,12.7959,0.279966,1.29644,0.401982,-0.235561,13077.5,-22.111,12.4804,0
289,-21.9179,12.5803,-22.3212,12.7959,0.108488,1.65742,0.403284,-0.215672,13061.9,-21.9293,12.5444,0
297,-21.982,12.5909,-22.3212,12.7959,-8.00755,1.32802,0.339224,-0.205048,13044.3,-22.0382,12.5873,0
309,-22.1191,12.6055,-22.3212,12.7959,-11.4249,1.21667,0.202125,-0.190448,13026.6,-22.25,12.6425,0
317,-22.2086,12.6555,-22.3212,12.7959,-11.1913,6.24873,0.112595,-0.140458,13008,-22.5073,12.8626,0
329,-22.2074,12.6863,-22.3212,12.7959,0.102575,2.57144,0.113826,-0.109601,12989.8,-22.1304,12.7361,0
337,-22.2253,12.6912,-22.3212,12.7959,-2.23391,0.602443,0.0959546,-0.104781,12974,-22.2209,12.6933,0
349,-22.2265,12.6931,-22.3212,12.7959,-0.0977578,0.165416,0.0947815,-0.102796,12960.1,-22.1788,12.6815,0
357,-22.2439,12.6946,-22.3212,12.7959,-2.18219,0.186349,0.077324,-0.101305,12948.7,-22.3079,12.6405,0
369,-22.264,12.6965,-22.3212,12.7959,-1.67217,0.156588,0.057258,-0.0994261,12941.5,-22.2713,12.6993,0
377,-22.2728,12.6987,-22.3212,12.7959,-1.10557,0.273749,0.0484135,-0.0972361,12937.9,-22.2579,12.6922,0
389,-22.2704,12.7165,-22.3212,12.7959,0.205456,1.48625,0.050879,-0.0794011,12936.3,-22.2522,12.8297,0
397,-22.2639,12.7393,-22.3212,12.7959,0.806297,2.85023,0.0573293,-0.0565993,12935.6,-22.325,12.7727,0
409,-22.2533,12.756,-22.3212,12.7959,0.883158,1.38639,0.0679272,-0.0399626,12935.6,-22.2463,12.8328,0
417,-22.2384,12.7772,-22.3212,12.7959,1.86054,2.65376,0.0828116,-0.0187326,12935.8,-22.2273,12.743,0
429,-22.2148,12.7885,-22.3212,12.7959,1.96867,0.940415,0.106436,-0.00744761,12936.6,-22.1774,12.8094,0
437,-22.2132,12.792,-22.3212,12.7959,0.202852,0.437793,0.108058,-0.00394526,12939.5,-22.1585,12.7609,0
449,-22.2116,12.8001,-22.3212,12.7959,0.134072,0.675928,0.109667,0.00416587,12945.4,-22.2053,12.8098,0
457,-22.2089,12.8169,-22.3212,12.7959,0.334208,2.09719,0.112341,0.0209434,12953.2,-22.2191,12.8356,0
469,-22.2091,12.8494,-22.3212,12.7959,-0.0178374,2.70817,0.112127,0.0534414,12960.9,-22.188,12.9433,0
477,-22.2046,12.895,-22.3212,12.7959,0.564392,5.70852,0.116642,0.0991096,12967.7,-22.2932,12.9233,0
489,-22.196,12.9412,-22.3212,12.7959,0.717306,3.84995,0.12525,0.145309,12973.3,-22.1538,12.9882,0
501,-22.1919,12.9655,-22.3212,12.7959,0.341831,2.02183,0.129352,0.169571,12978.4,-22.2293,12.973,0
509,-22.1917,12.9665,-22.3212,12.7959,0.0205376,0.122777,0.129516,0.170553,12983.1,-22.1559,12.954,0
521,-22.1909,12.9657,-22.3212,12.7959,0.0715139,-0.0688122,0.130374,0.169727,12987.1,-22.2181,12.9749,0
529,-22.1706,12.9456,-22.3212,12.7959,2.53058,-2.50542,0.150619,0.149684,12991,-22.1512,12.9288,0
541,-22.1539,12.9151,-22.3212,12.7959,1.39101,-2.54697,0.167311,0.11912,12996.3,-22.1443,12.8733,0
549,-22.1602,12.8792,-22.3212,12.7959,-0.779504,-4.47838,0.161075,0.0832934,13003.8,-22.157,12.8387,0
561,-22.1684,12.8385,-22.3212,12.7959,-0.684217,-3.39491,0.152864,0.0425545,13012.7,-22.2215,12.7969,0
569,-22.1696,12.8369,-22.3212,12.7959,-0.160206,-0.205212,0.151583,0.0409128,13020.4,-22.1917,12.768,0
581,-22.1738,12.8393,-22.3212,12.7959,-0.343618,0.202091,0.147459,0.0433379,13026,-22.1832,12.7784,0
589,-22.1949,12.8909,-22.3212,12.7959,-2.63547,6.4562,0.126376,0.0949875,13032.1,-22.2558,12.9667,0
