Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132555,Calibration,CC9-04202018-132555
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-23.1356,12.6606,-22.3212,12.7959,0,0,-0.814368,-0.135372,13485,-23.1461,12.6617,0
0,-23.1356,12.6606,-22.3212,12.7959,nan,nan,-0.814368,-0.135372,13485,-23.129,12.6464,0
12,-23.1088,12.6551,-22.3212,12.7959,2.23165,-0.45858,-0.787588,-0.140875,13485,-23.0886,12.6699,0
19,-23.0703,12.6515,-22.3212,12.7959,5.50114,-0.510732,-0.74908,-0.14445,13485,-23.0326,12.6346,0
31,-23.0545,12.6506,-22.3212,12.7959,1.32,-0.0749765,-0.73324,-0.145349,13483.3,-23.0048,12.6203,0
39,-23.0503,12.6624,-22.3212,12.7959,0.524218,1.48102,-0.729046,-0.133501,13461,-23.0526,12.7158,0
51,-23.0481,12.6757,-22.3212,12.7959,0.17798,1.10549,-0.72691,-0.120235,13437.8,-23.0591,12.6793,0
59,-23.0535,12.6794,-22.3212,12.7959,-0.663918,0.458485,-0.732222,-0.116568,13418.8,-23.0542,12.6703,0
71,-23.0553,12.6845,-22.3212,12.7959,-0.15237,0.425482,-0.73405,-0.111462,13406.4,-23.138,12.7457,0
79,-23.0783,12.6871,-22.3212,12.7959,-2.87499,0.326933,-0.75705,-0.108846,13398.1,-23.0642,12.6032,0
91,-23.1025,12.6977,-22.3212,12.7959,-2.02125,0.881949,-0.781305,-0.0982629,13390.8,-23.0551,12.6894,0
98,-23.1196,12.7083,-22.3212,12.7959,-2.43609,1.52225,-0.798358,-0.0876072,13384.4,-23.138,12.7457,0
110,-23.097,12.7355,-22.3212,12.7959,1.88158,2.26296,-0.775779,-0.0604516,13378.8,-23.0935,12.7662,0
118,-23.0931,12.7532,-22.3212,12.7959,0.491968,2.21597,-0.771843,-0.0427239,13371.2,-23.1225,12.8013,0
130,-23.0927,12.7539,-22.3212,12.7959,0.0318963,0.0588297,-0.77146,-0.0420179,13358.9,-23.0878,12.7378,0
138,-23.0862,12.7539,-22.3212,12.7959,0.816122,-0.000556544,-0.764931,-0.0420224,13341.6,-23.0272,12.8038,0
150,-23.0674,12.7648,-22.3212,12.7959,1.55964,0.909362,-0.746215,-0.03111,13321.1,-23.0871,12.7174,0
158,-23.0257,12.7481,-22.3212,12.7959,5.21732,-2.09501,-0.704477,-0.0478701,13300.7,-23.0076,12.6599,0
170,-22.9879,12.7029,-22.3212,12.7959,3.14727,-3.76645,-0.66671,-0.0930675,13283.6,-22.9529,12.8154,0
178,-22.9779,12.6768,-22.3212,12.7959,1.25368,-3.26494,-0.65668,-0.119187,13270.8,-22.9622,12.7104,0
190,-22.9768,12.6663,-22.3212,12.7959,0.0925116,-0.871359,-0.65557,-0.129643,13260.4,-22.9847,12.6366,0
198,-22.9722,12.6662,-22.3212,12.7959,0.569531,-0.00636827,-0.651014,-0.129694,13250.3,-22.9441,12.6648,0
210,-22.9661,12.664,-22.3212,12.7959,0.508343,-0.187932,-0.644914,-0.13195,13239.7,-23.0659,12.6719,0
222,-22.959,12.6617,-22.3212,12.7959,0.599466,-0.190092,-0.63772,-0.134231,13229.6,-22.9325,12.6567,0
230,-22.9524,12.6624,-22.3212,12.7959,0.824972,0.0907498,-0.63112,-0.133505,13222.2,-22.9492,12.6964,0
242,-22.9428,12.6616,-22.3212,12.7959,0.799815,-0.0687455,-0.621523,-0.13433,13218.2,-22.8996,12.6206,0
250,-22.9427,12.6601,-22.3212,12.7959,0.00448684,-0.194679,-0.621487,-0.135887,13216.4,-22.9796,12.6656,0
262,-22.9483,12.6419,-22.3212,12.7959,-0.46909,-1.51451,-0.627116,-0.154061,13215.5,-22.9109,12.6797,0
273,-22.9534,12.6114,-22.3212,12.7959,-0.457373,-2.76728,-0.632147,-0.184501,13215.1,-22.9787,12.6007,0
283,-22.96,12.5712,-22.3212,12.7959,-0.661793,-4.02646,-0.638765,-0.224766,13216.1,-23.0183,12.4856,0
291,-22.9474,12.5683,-22.3212,12.7959,1.57779,-0.358195,-0.626142,-0.227631,13220.7,-22.9986,12.4096,0
302,-22.8323,12.562,-22.3212,12.7959,10.4606,-0.570269,-0.511075,-0.233904,13234.6,-22.7788,12.4049,0
310,-22.0398,12.5888,-22.3212,12.7959,99.0687,3.34552,0.281474,-0.20714,13262.1,-21.1362,12.6761,0
322,-21.3615,12.6707,-22.3212,12.7959,56.5181,6.82627,0.959692,-0.125225,13296.2,-21.2312,12.6463,0
332,-21.3261,12.6911,-22.3212,12.7959,3.54252,2.03707,0.995117,-0.104854,13322,-21.3531,12.7907,0
343,-21.2963,12.7056,-22.3212,12.7959,2.71367,1.31531,1.02497,-0.0903858,13333.8,-21.3739,12.7492,0
351,-21.3225,12.7195,-22.3212,12.7959,-3.28062,1.73967,0.998722,-0.0764685,13336.5,-21.3572,12.6931,0
362,-21.3654,12.7256,-22.3212,12.7959,-3.89598,0.554427,0.955867,-0.0703698,13334.1,-21.2903,12.7217,0
370,-21.6569,12.7499,-22.3212,12.7959,-36.4368,3.04226,0.664372,-0.0460317,13324.4,-22.5046,12.8152,0
382,-22.2233,12.7982,-22.3212,12.7959,-47.2001,4.02592,0.0979705,0.00227927,13306,-22.7553,12.7784,0
390,-22.5502,12.8368,-22.3212,12.7959,-40.8633,4.82377,-0.228936,0.0408694,13284.7,-22.5512,12.9265,0
402,-22.6148,12.8628,-22.3212,12.7959,-5.38298,2.16441,-0.293531,0.0668424,13267.2,-22.6037,12.8747,0
410,-22.6268,12.8808,-22.3212,12.7959,-1.49931,2.24746,-0.305526,0.0848221,13253.9,-22.6998,12.9408,0
422,-22.6272,12.8815,-22.3212,12.7959,-0.0357282,0.062014,-0.305954,0.0855663,13243.7,-22.6901,12.877,0
430,-22.6262,12.8805,-22.3212,12.7959,0.119557,-0.131048,-0.304998,0.0845179,13237.3,-22.5255,12.8923,0
442,-22.6048,12.8546,-22.3212,12.7959,1.78548,-2.15621,-0.283572,0.0586434,13234.3,-22.483,12.7615,0
452,-22.612,12.8068,-22.3212,12.7959,-0.718871,-4.77385,-0.290761,0.0109049,13233.2,-22.5897,12.8803,0
462,-22.6171,12.7801,-22.3212,12.7959,-0.509035,-2.67841,-0.295851,-0.0158791,13233,-22.5512,12.7166,0
474,-22.6277,12.7808,-22.3212,12.7959,-0.884067,0.0653498,-0.30646,-0.0150949,13233.2,-22.6456,12.7872,0
482,-22.6538,12.8052,-22.3212,12.7959,-3.26383,3.03906,-0.332571,0.00921752,13233.3,-22.6932,12.7519,0
494,-22.7052,12.8118,-22.3212,12.7959,-4.28017,0.550232,-0.383933,0.0158203,13232.9,-22.746,12.8323,0
502,-22.7365,12.8409,-22.3212,12.7959,-3.91105,3.64557,-0.415221,0.0449848,13232.2,-22.8015,12.8744,0
514,-22.7403,12.8424,-22.3212,12.7959,-0.321377,0.124759,-0.419078,0.046482,13231.5,-22.7429,12.8682,0
522,-22.7402,12.8423,-22.3212,12.7959,0.0171247,-0.0133487,-0.418941,0.0463752,13230.8,-22.7318,12.8373,0
534,-22.7344,12.8361,-22.3212,12.7959,0.480623,-0.516577,-0.413173,0.0401762,13229.9,-22.7468,12.8168,0
542,-22.7319,12.7518,-22.3212,12.7959,0.31225,-10.5386,-0.410675,-0.0441323,13228.7,-22.7038,12.6743,0
554,-22.7129,12.6676,-22.3212,12.7959,1.58673,-7.01641,-0.391635,-0.128329,13227.8,-22.7044,12.6004,0
562,-22.6818,12.64,-22.3212,12.7959,3.88214,-3.45118,-0.360577,-0.155939,13227.6,-22.6311,12.648,0
574,-22.6594,12.6371,-22.3212,12.7959,1.86395,-0.242118,-0.33821,-0.158844,13227.9,-22.6286,12.5943,0
582,-22.6492,12.6362,-22.3212,12.7959,1.27565,-0.111853,-0.328005,-0.159739,13229.4,-22.6891,12.5365,0
594,-22.634,12.6349,-22.3212,12.7959,1.26768,-0.109461,-0.312793,-0.161052,13232.8,-22.7624,12.7147,0
602,-22.6143,12.6343,-22.3212,12.7959,2.46445,-0.0713639,-0.293077,-0.161623,13238.2,-22.5361,12.7095,0
614,-22.5512,12.645,-22.3212,12.7959,5.2608,0.889329,-0.229947,-0.150951,13245.1,-22.4355,12.5992,0
622,-22.488,12.6401,-22.3212,12.7959,7.89748,-0.613905,-0.166768,-0.155863,13252.8,-22.4356,12.6724,0
634,-22.4805,12.6363,-22.3212,12.7959,0.628635,-0.315162,-0.159224,-0.159645,13260.9,-22.4738,12.6946,0
642,-22.4788,12.6246,-22.3212,12.7959,0.204135,-1.4668,-0.157591,-0.171379,13269.9,-22.5208,12.6138,0
654,-22.4724,12.6231,-22.3212,12.7959,0.532609,-0.121742,-0.1512,-0.17284,13279.6,-22.4708,12.6329,0
662,-22.4726,12.614,-22.3212,12.7959,-0.02293,-1.13627,-0.151383,-0.18193,13287.9,-22.4851,12.6268,0
674,-22.4464,12.6111,-22.3212,12.7959,2.18054,-0.245289,-0.125216,-0.184874,13294,-22.4144,12.5914,0
682,-22.4128,12.601,-22.3212,12.7959,4.20299,-1.2563,-0.0915925,-0.194924,13299.5,-22.4232,12.5481,0
694,-22.3699,12.5714,-22.3212,12.7959,3.57893,-2.46749,-0.0486454,-0.224534,13306.5,-22.3105,12.6089,0
702,-22.3258,12.5458,-22.3212,12.7959,5.51057,-3.1972,-0.00456082,-0.250111,13316.8,-22.3361,12.5196,0
714,-22.3211,12.5347,-22.3212,12.7959,0.389085,-0.924992,0.000108198,-0.261211,13331.8,-22.2942,12.5753,0
726,-22.314,12.5319,-22.3212,12.7959,0.593205,-0.236054,0.00722666,-0.264044,13352.4,-22.317,12.5233,0
734,-22.3028,12.5313,-22.3212,12.7959,1.40176,-0.078096,0.0184408,-0.264669,13377.6,-22.304,12.4785,0
749,-22.2729,12.5404,-22.3212,12.7959,1.99312,0.606214,0.0483376,-0.255576,13401.5,-22.2437,12.5286,0
757,-22.2383,12.585,-22.3212,12.7959,4.32512,5.57544,0.0829385,-0.210972,13417.4,-22.2317,12.6397,0
766,-22.2173,12.6454,-22.3212,12.7959,2.32853,6.71603,0.103895,-0.150528,13425.4,-22.1647,12.6762,0
774,-22.1953,12.655,-22.3212,12.7959,2.75801,1.20422,0.125959,-0.140894,13432,-22.227,12.6759,0
786,-22.1753,12.6537,-22.3212,12.7959,1.66233,-0.110178,0.145907,-0.142216,13443.5,-22.1947,12.6387,0
794,-22.1754,12.6532,-22.3212,12.7959,-0.0109968,-0.0636895,0.145819,-0.142726,13460.7,-22.1303,12.69,0
806,-22.1981,12.6413,-22.3212,12.7959,-1.89326,-0.991935,0.1231,-0.154629,13480.1,-22.1454,12.625,0
814,-22.2383,12.5944,-22.3212,12.7959,-5.02639,-5.86842,0.0828891,-0.201576,13499.8,-22.3981,12.5269,0
826,-22.2728,12.539,-22.3212,12.7959,-2.868,-4.61044,0.048473,-0.256902,13521.6,-22.3199,12.6066,0
834,-22.2784,12.5122,-22.3212,12.7959,-0.708783,-3.35163,0.0428028,-0.283715,13546,-22.2707,12.4819,0
846,-22.2789,12.5019,-22.3212,12.7959,-0.0427164,-0.86138,0.0422902,-0.294051,13569.6,-22.2496,12.4941,0
854,-22.2511,12.4953,-22.3212,12.7959,3.48606,-0.8187,0.0701787,-0.300601,13590.4,-22.213,12.4868,0
866,-22.2489,12.495,-22.3212,12.7959,0.180918,-0.0293472,0.0723497,-0.300953,13609.4,-22.1969,12.4885,0
874,-22.2264,12.4937,-22.3212,12.7959,2.80656,-0.165039,0.0948022,-0.302273,13627.1,-22.2688,12.5006,0
886,-22.2018,12.5082,-22.3212,12.7959,2.05053,1.20741,0.119409,-0.287784,13644.6,-22.3272,12.5581,0
896,-22.1783,12.5632,-22.3212,12.7959,2.3518,5.50199,0.142927,-0.232764,13663.2,-22.0092,12.6917,0
907,-22.1304,12.6261,-22.3212,12.7959,4.35751,5.7223,0.190859,-0.169819,13681.3,-22.0748,12.6586,0
915,-22.0942,12.6429,-22.3212,12.7959,4.52676,2.1031,0.227073,-0.152994,13697.9,-22.0893,12.6688,0
927,-22.0884,12.6432,-22.3212,12.7959,0.482528,0.021388,0.232864,-0.152738,13716,-22.0908,12.6507,0
937,-22.0746,12.6408,-22.3212,12.7959,1.37288,-0.244855,0.246592,-0.155186,13736.2,-22.0316,12.6165,0
947,-22.0824,12.6096,-22.3212,12.7959,-0.777074,-3.11983,0.238822,-0.186385,13756,-22.0176,12.5472,0
955,-22.0943,12.542,-22.3212,12.7959,-1.4814,-8.44368,0.226971,-0.253934,13773.3,-22.1268,12.4627,0
967,-22.1051,12.4901,-22.3212,12.7959,-0.905074,-4.32532,0.21611,-0.305838,13787.9,-22.2259,12.475,0
979,-22.1112,12.4884,-22.3212,12.7959,-0.510447,-0.139114,0.209984,-0.307507,13801,-22.1438,12.499,0
989,-22.1115,12.4887,-22.3212,12.7959,-0.0213984,0.0227989,0.20977,-0.307279,13816.7,-22.1027,12.6028,0
999,-22.1089,12.4935,-22.3212,12.7959,0.25959,0.482827,0.212366,-0.302451,13840.4,-22.1017,12.3551,0
1007,-22.0677,12.4967,-22.3212,12.7959,5.14607,0.406488,0.253535,-0.299199,13869.8,-21.9852,12.5079,0
1020,-22.0531,12.5011,-22.3212,12.7959,1.12367,0.334369,0.268142,-0.294852,13895.4,-21.9926,12.4808,0
1032,-22.0123,12.5023,-22.3212,12.7959,3.39657,0.097494,0.308901,-0.293682,13913.9,-21.9685,12.4941,0
1039,-22.0026,12.5233,-22.3212,12.7959,1.38948,3.00351,0.318628,-0.272658,13933.2,-22.0598,12.5948,0
1047,-21.9941,12.543,-22.3212,12.7959,1.05998,2.46087,0.327107,-0.252971,13959.7,-21.9641,12.6713,0
1060,-22.0074,12.5594,-22.3212,12.7959,-1.02227,1.26431,0.313818,-0.236535,13988.9,-21.9009,12.5359,0
1068,-22.002,12.6402,-22.3212,12.7959,0.67756,10.1044,0.319238,-0.155699,14011.6,-22.0156,12.7264,0
1080,-21.9958,12.6504,-22.3212,12.7959,0.515189,0.848332,0.325421,-0.145519,14025.5,-21.9886,12.7415,0
1090,-21.9902,12.6806,-22.3212,12.7959,0.564646,3.0133,0.331067,-0.115386,14035.2,-21.9917,12.7132,0
1100,-21.9839,12.6796,-22.3212,12.7959,0.628399,-0.0923301,0.337351,-0.11631,14046.4,-21.9957,12.5794,0
1108,-21.9696,12.6387,-22.3212,12.7959,1.78852,-5.11346,0.351659,-0.157217,14062.9,-21.9464,12.6414,0
1119,-21.9186,12.6208,-22.3212,12.7959,4.63739,-1.63247,0.40267,-0.175174,14085.8,-21.8211,12.6706,0
1127,-21.8423,12.5881,-22.3212,12.7959,9.53558,-4.07806,0.478955,-0.207799,14112.8,-21.6535,12.5931,0
1141,-21.8394,12.5711,-22.3212,12.7959,0.205359,-1.21452,0.48183,-0.224802,14140.3,-21.8281,12.5332,0
1151,-21.792,12.5438,-22.3212,12.7959,4.74218,-2.73679,0.529252,-0.25217,14167.4,-21.7679,12.4573,0
1159,-21.794,12.5347,-22.3212,12.7959,-0.249271,-1.13192,0.527258,-0.261226,14194.7,-21.9389,12.4626,0
1167,-21.858,12.5403,-22.3212,12.7959,-8.00231,0.701504,0.463239,-0.255613,14220.7,-21.7685,12.5542,0
1180,-21.9216,12.5578,-22.3212,12.7959,-4.89392,1.3412,0.399618,-0.238178,14242.6,-21.9397,12.5329,0
1188,-21.9229,12.5591,-22.3212,12.7959,-0.161215,0.163091,0.398329,-0.236873,14261.3,-21.9438,12.6736,0
1200,-21.8916,12.5719,-22.3212,12.7959,2.61275,1.07313,0.429682,-0.223996,14282,-21.9196,12.5973,0
1209,-21.8947,12.5814,-22.3212,12.7959,-0.353107,1.04812,0.426504,-0.214563,14309.4,-21.8051,12.4622,0
