Status,Begin,Latency Status,Steady State Begin,Steady State End,Steady State Status,Latency,Error,Gain,Velocity Peak,Steady State Amplitude,Pos Peak Max, Amplitude Peak Max
1,167,1,199,321,1,192,0.617215,1.4588,143.446,5.62572,212,0.776261,
1,322,1,360,467,1,252,0.0605123,1.10718,252.22,-0.0605123,394,0.216154,
1,468,1,518,617,1,225,-0.00735044,0.995803,156.703,-4.97672,530,0.232263,
1,618,1,635,710,1,232,0.602165,1.09257,212.334,0.602165,635,0.848139,
1,766,1,855,917,1,223,0.408346,0.99934,279.854,5.41685,868,0.635349,
0,918,0,893,893,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
1,1062,1,1145,1213,1,200,-0.285336,0.86141,176.644,9.7279,1145,0.0149721,
1,1214,1,1242,1328,1,228,0.0774407,0.96231,273.196,-0.0774407,1264,0.270345,
0,1407,0,1340,1340,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,1453,0,1489,1489,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,1668,0,1638,1638,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,1793,0,1788,1788,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,1933,1,1978,2097,1,-40,-0.124988,0.913805,63.298,9.88825,2025,0.0107601,
0,2098,0,2086,2086,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,2259,0,2235,2235,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
