Status,Begin,Latency Status,Steady State Begin,Steady State End,Steady State Status,Latency,Error,Gain,Velocity Peak,Steady State Amplitude,Pos Peak Max, Amplitude Peak Max
1,335,1,441,622,1,332,-0.900455,0.859034,412.055,-9.08891,621,-0.624837,
1,623,1,645,773,1,232,0.216851,0.957715,303.119,0.216851,680,0.4566,
0,845,1,1088,1220,1,-537,0.134396,1.2001,61.0851,5.1429,1210,0.324951,
1,1221,1,1285,1459,1,260,-0.256724,1.0059,200.204,0.256724,1458,0.0206493,
0,1528,0,1493,1493,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
1,1814,1,1903,2063,1,232,-0.0594015,0.96764,239.296,-0.0594015,2054,0.188746,
0,2080,1,2245,2411,1,-80,0.711579,2.8481,362.103,5.72008,2245,1.0524,
1,2412,1,2475,2653,1,272,-0.492543,1.01612,218.741,0.492543,2475,-0.168484,
0,2715,0,2683,2683,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,2913,0,2981,2981,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,3299,0,3279,3279,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,3556,0,3576,3576,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
1,3895,1,3961,4087,1,213,-0.397013,1.01911,192.774,-4.58706,4048,-0.159004,
0,4096,0,4280,4408,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
0,4494,0,4469,4469,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
